       sourse  shift_dec_81  shift_ra_81  shift_dec_84  shift_ra_84  shift_dec_121  shift_ra_121
111  1228+126      0.008057    -0.004848      0.004846     0.007176       0.002866     -0.007516
112  1243-072     -0.003897    -0.005822     -0.003255    -0.011747      -0.005895      0.000089
113  1253-055     -0.053618    -0.023658     -0.126762    -0.091310      -0.034056      0.007364
114  1253-055     -0.026025    -0.021223     -0.029768    -0.003958       0.002352      0.000470
115  1302-102      0.133870     0.137390     -0.257692    -0.190586      -0.077638      0.009759
116  1308+326      0.027636    -0.026976      0.035142    -0.037813       0.040625     -0.039535
117  1324+224      0.041459    -0.035384      0.029113    -0.025468      -0.023571     -0.005108
118  1331+170      0.025983     0.008405     -0.029515    -0.012357       0.010286      0.002647
119  1331+170     -0.033587     0.043169     -0.018976     0.020658      -0.046629      0.025713
120  1334-127     -0.011049     0.008478     -0.008484     0.008396       0.003059     -0.000557
121  1345+125     -0.010618     0.001525      0.006070     0.002992      -0.030008      0.013746
122  1404+286     -0.106464    -0.115878     -0.110173    -0.101318      -0.001651     -0.013612
123  1406-076     -0.002772    -0.030060      0.001434    -0.024291      -0.007077      0.003433
124  1413+135      0.006536    -0.000048      0.007684    -0.000553       0.007388     -0.003909
125  1417+385     -0.000991     0.001761     -0.001252     0.002552       0.002051      0.001220
126  1418+546      0.012599    -0.011351      0.015042    -0.010892      -0.012010      0.013764
127  1418+546     -0.040774     0.026949     -0.033936     0.029107      -0.003196      0.005079
128  1458+718     -0.371332     0.111854     -0.401850     0.118433      -0.097525      0.024998
129  1502+106     -0.000443     0.003849      0.000782     0.003532       0.006292      0.009461
130  1504-166     -0.145434    -0.006397     -0.030750     0.005480      -0.059663     -0.008486
131  1508-055      0.000566     0.001270      0.002100     0.000012       0.002102      0.008691
132  1509+054      0.007641    -0.100200     -0.000765    -0.032444       0.026276     -0.028522
133  1509+054     -0.065517    -0.149844     -0.003066    -0.140129       0.041025     -0.041332
134  1510-089      0.033769    -0.024982     -0.003784     0.015777       0.006460      0.000099
135  1514+004     -0.025794     0.013109     -0.015875     0.010948      -0.020971      0.012670
136  1514-241      0.031873    -0.000426      0.043233    -0.005203       0.002973      0.002998
137  1532+016      0.002346     0.000729      0.003812    -0.002144       0.001527      0.002402
138  1538+149      0.066953    -0.060075      0.064168    -0.054535       0.065338     -0.059516
139  1546+027      0.017976    -0.002247      0.018676    -0.002236       0.019186      0.000090
140  1548+056      0.007512    -0.003414     -0.000138    -0.003716      -0.081949      0.030226
141  1606+106      0.002451    -0.014655     -0.002583     0.000568      -0.003380     -0.005214
142  1607+268     -0.372392    -0.038338     -0.030063     0.015283      -0.032143     -0.007108
143  1611+343     -0.010297     0.000005      0.006425     0.001813      -0.000741      0.003527
144  1633+382      0.012167    -0.022900      0.011418    -0.016862       0.006505     -0.002103
145  1637+574     -0.076832    -0.057297     -0.062128    -0.047525      -0.050967     -0.019430
146  1637+826     -0.009798     0.024783     -0.006961     0.021360       0.007175     -0.012225
147  1638+398     -0.003775    -0.006182     -0.002961    -0.005342       0.000088     -0.000807
148  1641+399     -0.008692     0.093734     -0.009867     0.013418      -0.002230     -0.005672
149  1642+690     -0.027603     0.005097     -0.019920     0.001814      -0.003133      0.002088
150  1652+398     -0.007868     0.005862     -0.080324    -0.000038      -0.025624      0.014847
151  1655+077      0.015186    -0.012516      0.011152    -0.012149       0.000333     -0.003778
152  1725+044     -0.032345     0.106530     -0.036595     0.078968       0.019833      0.016325
153  1726+455     -0.023303    -0.052467     -0.015772    -0.053633       0.001031     -0.006215
154  1730-130      0.150538     0.013280      0.048974     0.004680       0.088787      0.008266
155  1739+522      0.002286    -0.018003     -0.002279    -0.018673      -0.002830     -0.018225
156  1741-038     -0.030333    -0.038975     -0.024920    -0.023022      -0.013881     -0.012966
157  1749+096      0.002241     0.000247     -0.000934     0.000060      -0.001555      0.000036
158  1749+701     -0.004153     0.027055      0.020680    -0.019569      -0.011764      0.081843
159  1751+288      0.005198    -0.007475      0.004761    -0.007860       0.004226     -0.006622
160  1758+388     -0.005865    -0.003079     -0.001868    -0.004586       0.001631     -0.001017
161  1800+440     -0.000606     0.000995      0.000958     0.001819       0.000071      0.001367
162  1803+784      0.002991    -0.004087     -0.000013    -0.003480      -0.000794      0.005956
163  1807+698     -0.036139    -0.028479     -0.000452    -0.081034      -0.006603     -0.027735
164  1823+568      0.027228     0.008155     -0.067150     0.005824      -0.009074     -0.002485
165  1828+487      0.004678     0.003444     -0.001504     0.003620      -0.000761      0.001049
166  1845+797      0.019901    -0.018269      0.005551    -0.004882       0.008475     -0.002502
167  1849+670      0.000246     0.000273     -0.000625     0.000725      -0.000118      0.000619
168  1901+319     -0.027021    -0.039217     -0.034575    -0.055838       0.003637     -0.009914
169  1908-201      0.002829     0.001317      0.003359     0.000227      -0.006535      0.003406
170  1928+738      0.267898    -0.083296      0.264364    -0.080321       0.100378     -0.004120
171  1936-155     -0.004606     0.010551     -0.006179     0.005232      -0.000687      0.006101
172  1957+405      0.083522    -0.356518      0.074786    -0.222742       0.050870     -0.108517
173  1958-179     -0.010656     0.000150     -0.005345     0.000088       0.000952     -0.000673
174  2005+403     -0.084026     0.209975     -0.035871     0.048621      -0.005457     -0.007167
175  2008-159      0.016166    -0.004211      0.011919    -0.002057       0.001064     -0.002218
176  2021+317     -0.008527    -0.008270     -0.004426    -0.016117      -0.002268     -0.005125
177  2021+614      0.025202    -0.045256      0.022395     0.027997       0.009942      0.003252
178  2022-077      0.025503    -0.002508      0.023087     0.000373       0.009875     -0.000746
179  2037+511      0.003622    -0.000278      0.004919     0.002389       0.000546     -0.000466
180  2113+293     -0.036445    -0.004638      0.017721     0.002082      -0.022685     -0.005584
181  2121+053     -0.063388     0.013375     -0.067197    -0.033457       0.039460     -0.047677
182  2126-158     -0.005878    -0.001863      0.021181     0.001217      -0.001786     -0.001153
183  2128-123      0.110458     0.099959      0.127718     0.117262       0.105713      0.097601
184  2131-021     -0.012002     0.119909      0.011469     0.020740      -0.002909      0.006030
185  2134+004      0.118204     0.517710      0.026842     0.142135       0.162352      0.668949
186  2136+141      0.045932    -0.044193      0.052841    -0.031033      -0.018776      0.004625
187  2141+175     -0.000413     0.020385     -0.000592     0.020546      -0.002257      0.003132
188  2145+067     -0.004170     0.018367     -0.014288     0.018491       0.006711     -0.000970
189  2155-152      0.099009     0.097451      0.179825     0.141168       0.166529      0.076372
190  2200+420      0.003989     0.000594      0.008683    -0.000946      -0.014498     -0.002768
191  2200+420     -0.001911    -0.001345      0.011084     0.000550      -0.002809      0.001492
192  2201+171      0.000855     0.007473     -0.004547     0.004940      -0.002392     -0.000242
193  2201+315     -0.103260    -0.083516     -0.097625    -0.081203      -0.018087     -0.002879
194  2209+236     -0.024951     0.003272      0.042140    -0.000321       0.009596     -0.002382
195  2216-038     -0.011090    -0.020904      0.016886    -0.018877      -0.010129     -0.020668
196  2223-052     -0.007221     0.011584      0.001986     0.011352      -0.007743      0.003444
197  2227-088     -0.003510     0.000657     -0.005501     0.000559      -0.002522     -0.004367
198  2230+114     -0.004455     0.032457      0.001208     0.018927      -0.002876      0.004487
199  2243-123      0.529555     0.016343     -0.230957    -0.024065       0.078250      0.010771
200  2251+158     -0.036560    -0.165959     -0.034196    -0.103633      -0.012868      0.008018
201  2251+158     -0.000462    -0.193610     -0.010687    -0.127096       0.009532     -0.155049
202  2254+074     -0.023213    -0.022541     -0.017517    -0.011850      -0.018937      0.002078
203  2320-035      0.012401    -0.004789      0.003477    -0.001191       0.008288     -0.005736
204  2331+073     -0.030218     0.038706     -0.021435     0.052175      -0.000149     -0.002224
205  2345-167      0.010254     0.005200      0.001455     0.000271       0.001464      0.002297
206  2351+456     -0.006777     0.022248     -0.006527     0.047419      -0.010734      0.035181
207  2356+196     -0.074698    -0.047175     -0.007463    -0.022928       0.004600     -0.016658
208  2356+196     -0.084290    -0.027178     -0.034844    -0.017354      -0.047583     -0.009499
